Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
2026-07-13T05:01:16.934Z,,,Included,composer-2.5-fast,No,0,125360,0,5287,130647,Included
2026-07-13T05:02:06.140Z,,,Included,composer-2.5-fast,No,0,74856,3022675,23588,3121119,Included
2026-07-13T05:11:25.315Z,,,Included,composer-2.5-fast,No,0,631,93505,244,94380,Included
2026-07-13T05:13:21.141Z,,,Included,composer-2.5-fast,No,0,28649,2008359,16248,2053256,Included
2026-07-13T05:20:52.341Z,,,Included,composer-2.5-fast,No,0,582,122766,304,123652,Included
2026-07-13T05:22:45.106Z,,,Included,composer-2.5-fast,No,0,4410,501331,1763,507504,Included
2026-07-13T05:25:51.388Z,,,Included,composer-2.5-fast,No,0,109567,0,7344,116911,Included
2026-07-13T05:26:47.917Z,,,Included,composer-2.5-fast,No,0,91520,1313006,14693,1419219,Included
2026-07-13T05:29:48.408Z,,,Included,composer-2.5-fast,No,0,43080,127712,3625,174417,Included
2026-07-13T05:31:27.255Z,,,Included,composer-2.5-fast,No,0,488,136798,684,137970,Included
2026-07-13T05:31:40.710Z,,,Included,composer-2.5-fast,No,0,72231,172128,2450,246809,Included
2026-07-13T05:36:59.119Z,,,Included,composer-2.5-fast,No,0,2012,209007,579,211598,Included
2026-07-13T05:41:45.673Z,,,Included,composer-2.5-fast,No,0,68948,246880,4071,319899,Included
2026-07-13T05:43:28.214Z,,,Included,composer-2.5-fast,No,0,11735,74112,373,86220,Included
2026-07-13T05:43:43.077Z,,,Included,composer-2.5-fast,No,0,5685,81600,298,87583,Included
2026-07-13T05:44:28.577Z,,,Included,composer-2.5-fast,No,0,12949,315168,4227,332344,Included
2026-07-13T05:46:45.867Z,,,Included,composer-2.5-fast,No,0,7419,216901,520,224840,Included
2026-07-13T05:47:03.616Z,,,Included,composer-2.5-fast,No,0,5463,306917,2788,315168,Included
2026-07-13T05:50:13.525Z,,,Included,composer-2.5-fast,No,0,2678,80181,1330,84189,Included
2026-07-13T05:55:46.730Z,,,Included,composer-2.5-fast,No,0,1636,82858,1668,86162,Included
2026-07-13T05:58:19.630Z,,,Included,composer-2.5-fast,No,0,1940,84493,1601,88034,Included
2026-07-13T06:00:08.315Z,,,Included,composer-2.5-fast,No,0,1874,86432,1333,89639,Included
2026-07-13T06:00:45.567Z,,,Included,composer-2.5-fast,No,0,1,88305,1237,89543,Included
2026-07-13T06:01:33.038Z,,,Included,composer-2.5-fast,No,0,22697,1323827,6808,1353332,Included
2026-07-13T06:03:57.436Z,,,Included,composer-2.5-fast,No,0,14854,823653,13180,851687,Included
2026-07-13T06:06:11.398Z,,,Included,composer-2.5-fast,No,0,2560,887630,1249,891439,Included
2026-07-13T06:08:41.566Z,,,Included,composer-2.5-fast,No,0,5303,519888,621,525812,Included
2026-07-13T06:11:03.080Z,,,Included,composer-2.5-fast,No,0,592,133688,159,134439,Included
2026-07-13T06:13:05.929Z,,,Included,composer-2.5-fast,No,0,2744,948577,1646,952967,Included
2026-07-13T06:15:03.245Z,,,Included,composer-2.5-fast,No,0,318,136987,168,137473,Included
